pH,Temperature,Contact time,Initial concentration,Adsorbent dosage,Adsorption capacity
7,25,0,30.0,0.15,0.0
7,25,30,30.0,0.15,197.8062144
7,25,60,30.0,0.15,150.1989005
7,25,120,30.0,0.15,167.5159495
7,25,240,30.0,0.15,149.605412
7,25,480,30.0,0.15,195.9498078
7,25,720,30.0,0.15,167.515083
7,25,960,30.0,0.15,186.4946966
7,25,1440,30.0,0.15,186.4946966
7,25,0,30.0,0.15,0.0
7,25,30,30.0,0.15,133.9387453
7,25,60,30.0,0.15,147.6588002
7,25,120,30.0,0.15,148.4531924
7,25,240,30.0,0.15,176.1731686
7,25,480,30.0,0.15,193.5824935
7,25,720,30.0,0.15,193.6168628
7,25,960,30.0,0.15,194.2473483
7,25,1440,30.0,0.15,194.2473483
7,25,0,30.0,0.15,0.0
7,25,30,30.0,0.15,144.533151
7,25,60,30.0,0.15,160.0832954
7,25,120,30.0,0.15,157.48997
7,25,240,30.0,0.15,187.9339624
7,25,480,30.0,0.15,180.7380892
7,25,720,30.0,0.15,194.3002695
7,25,960,30.0,0.15,194.1076374
7,25,1440,30.0,0.15,194.1076374
7,25,0,30.0,0.15,0.0
7,25,30,30.0,0.15,145.5371278
7,25,60,30.0,0.15,91.05162851
7,25,120,30.0,0.15,107.1628758
7,25,240,30.0,0.15,83.81957075
7,25,480,30.0,0.15,110.8222473
7,25,720,30.0,0.15,82.1890143
7,25,960,30.0,0.15,90.8839765
7,25,1440,30.0,0.15,90.8839765
7,25,0,30.0,0.15,0.0
7,25,30,30.0,0.15,70.50262639
7,25,60,30.0,0.15,88.93581999
7,25,120,30.0,0.15,85.37041814
7,25,240,30.0,0.15,109.4004336
7,25,480,30.0,0.15,92.89581855
7,25,720,30.0,0.15,98.33483822
7,25,960,30.0,0.15,100.211
7,25,1440,30.0,0.15,91.25331613
7,25,0,30.0,0.15,0.0
7,25,30,30.0,0.15,85.45114121
7,25,60,30.0,0.15,92.14540113
7,25,120,30.0,0.15,95.45575979
7,25,240,30.0,0.15,102.0173098
7,25,480,30.0,0.15,86.33087176
7,25,720,30.0,0.15,99.37428786
7,25,960,30.0,0.15,98.53143789
7,25,1440,30.0,0.15,107.8474291
7,25,0,30.0,0.15,0.0
7,25,30,30.0,0.15,122.2710243
7,25,60,30.0,0.15,73.19550477
7,25,120,30.0,0.15,86.91503319
7,25,240,30.0,0.15,68.53641667
7,25,480,30.0,0.15,87.9671812
7,25,720,30.0,0.15,62.81852335
7,25,960,30.0,0.15,72.58487273
7,25,1440,30.0,0.15,72.58487273
7,25,0,30.0,0.15,0.0
7,25,30,30.0,0.15,55.28905586
7,25,60,30.0,0.15,75.21676107
7,25,120,30.0,0.15,69.24782798
7,25,240,30.0,0.15,89.11830469
7,25,480,30.0,0.15,68.49643457
7,25,720,30.0,0.15,79.15079906
7,25,960,30.0,0.15,80.96391749
7,25,1440,30.0,0.15,73.1777263
7,25,0,30.0,0.15,0.0
7,25,30,30.0,0.15,71.26186908
7,25,60,30.0,0.15,73.30368092
7,25,120,30.0,0.15,79.17594846
7,25,240,30.0,0.15,79.91301527
7,25,480,30.0,0.15,65.97291703
7,25,720,30.0,0.15,75.44196368
7,25,960,30.0,0.15,79.93079374
7,25,1440,30.0,0.15,87.71698493
7,25,0,30.0,0.15,0.0
7,25,30,30.0,0.15,90.16372742
7,25,60,30.0,0.15,101.6589423
7,25,120,30.0,0.15,131.7447333
7,25,240,30.0,0.15,159.1299781
7,25,480,30.0,0.15,167.0261165
7,25,720,30.0,0.15,174.3891721
7,25,960,30.0,0.15,174.5851161
7,25,1440,30.0,0.15,174.4023557
7,25,0,30.0,0.15,0.0
7,25,30,30.0,0.15,97.30484165
