pH,Temperature,Contact time,Initial concentration,Adsorbent dosage,Adsorption capacity
7,25,30,10.0,0.05,124.4444444
7,25,30,20.0,0.05,106.6666667
7,25,30,30.0,0.05,186.6666667
7,25,30,50.0,0.05,133.3333333
7,25,30,80.0,0.05,186.6666667
7,25,30,100.0,0.05,200.0
7,25,30,10.0,0.05,120.0
7,25,30,20.0,0.05,120.0
7,25,30,30.0,0.05,120.0
7,25,30,50.0,0.05,142.2222222
7,25,30,80.0,0.05,200.0
7,25,30,100.0,0.05,204.4444444
7,25,30,10.0,0.05,69.77777778
7,25,30,20.0,0.05,148.2962963
7,25,30,30.0,0.05,189.7777778
7,25,30,50.0,0.05,243.1111111
7,25,30,80.0,0.05,372.0
7,25,30,100.0,0.05,385.3333333
7,25,30,10.0,0.05,96.44444444
7,25,30,20.0,0.05,149.7777778
7,25,30,30.0,0.05,183.8518519
7,25,30,50.0,0.05,260.8888889
7,25,30,80.0,0.05,367.5555556
7,25,30,100.0,0.05,385.3333333
7,25,30,10.0,0.05,97.81746032
7,25,30,20.0,0.05,149.4047619
7,25,30,30.0,0.05,199.8015873
7,25,30,50.0,0.05,228.3730159
7,25,30,80.0,0.05,265.2777778
7,25,30,100.0,0.05,305.7539683
7,25,30,10.0,0.05,99.4047619
7,25,30,20.0,0.05,132.3412698
7,25,30,30.0,0.05,163.9550265
7,25,30,50.0,0.05,212.1031746
7,25,30,80.0,0.05,259.3253968
7,25,30,100.0,0.05,318.8492063
3,25,30,10.0,0.05,93.33333333
5,25,30,10.0,0.05,40.0
7,25,30,10.0,0.05,13.33333333
9,25,30,10.0,0.05,0.0
3,25,30,10.0,0.05,93.33333333
5,25,30,10.0,0.05,40.0
7,25,30,10.0,0.05,13.33333333
9,25,30,10.0,0.05,0.0
3,25,30,10.0,0.05,93.33333333
5,25,30,10.0,0.05,40.0
7,25,30,10.0,0.05,13.33333333
9,25,30,10.0,0.05,0.0
3,25,30,10.0,0.05,43.11111111
5,25,30,10.0,0.05,65.33333333
7,25,30,10.0,0.05,87.55555556
9,25,30,10.0,0.05,87.55555556
3,25,30,10.0,0.05,43.11111111
5,25,30,10.0,0.05,65.33333333
7,25,30,10.0,0.05,87.55555556
9,25,30,10.0,0.05,87.55555556
3,25,30,10.0,0.05,43.11111111
5,25,30,10.0,0.05,65.33333333
7,25,30,10.0,0.05,87.55555556
9,25,30,10.0,0.05,87.55555556
3,25,30,10.0,0.05,90.27777778
5,25,30,10.0,0.05,104.9603175
7,25,30,10.0,0.05,92.65873016
9,25,30,10.0,0.05,100.1984127
3,25,30,10.0,0.05,90.27777778
5,25,30,10.0,0.05,104.9603175
7,25,30,10.0,0.05,92.65873016
9,25,30,10.0,0.05,100.1984127
3,25,30,10.0,0.05,90.27777778
5,25,30,10.0,0.05,104.9603175
7,25,30,10.0,0.05,92.65873016
9,25,30,10.0,0.05,100.1984127
7,15,30,10.0,0.05,53.33333333
7,25,30,10.0,0.05,53.33333333
7,35,30,10.0,0.05,53.33333333
7,45,30,10.0,0.05,53.33333333
7,15,30,10.0,0.05,53.33333333
7,25,30,10.0,0.05,53.33333333
7,35,30,10.0,0.05,53.33333333
7,45,30,10.0,0.05,53.33333333
7,15,30,10.0,0.05,53.33333333
7,25,30,10.0,0.05,53.33333333
7,35,30,10.0,0.05,53.33333333
7,45,30,10.0,0.05,53.33333333
7,15,30,10.0,0.05,56.44444444
7,25,30,10.0,0.05,74.22222222
7,35,30,10.0,0.05,78.66666667
7,45,30,10.0,0.05,87.55555556
7,15,30,10.0,0.05,56.44444444
7,25,30,10.0,0.05,74.22222222
7,35,30,10.0,0.05,78.66666667
7,45,30,10.0,0.05,87.55555556
7,15,30,10.0,0.05,56.44444444
7,25,30,10.0,0.05,74.22222222
7,35,30,10.0,0.05,78.66666667
7,45,30,10.0,0.05,87.55555556
7,15,30,10.0,0.05,85.51587302
7,25,30,10.0,0.05,95.83333333
7,35,30,10.0,0.05,105.7539683
7,45,30,10.0,0.05,115.2777778
7,15,30,10.0,0.05,85.51587302
7,25,30,10.0,0.05,95.83333333
7,35,30,10.0,0.05,105.7539683
7,45,30,10.0,0.05,115.2777778
7,15,30,10.0,0.05,85.51587302
7,25,30,10.0,0.05,95.83333333
7,35,30,10.0,0.05,105.7539683
7,45,30,10.0,0.05,115.2777778
7,25,30,10.0,0.05,53.33333333
7,25,30,10.0,0.05,40.0
7,25,30,10.0,0.05,66.66666667
7,25,30,10.0,0.05,80.0
7,25,30,10.0,0.05,53.33333333
7,25,30,10.0,0.05,53.33333333
7,25,30,10.0,0.05,53.33333333
7,25,30,10.0,0.05,26.66666667
7,25,30,10.0,0.05,66.66666667
7,25,30,10.0,0.05,80.0
7,25,30,10.0,0.05,66.66666667
7,25,30,10.0,0.05,66.66666667
7,25,30,10.0,0.05,53.33333333
7,25,30,10.0,0.05,26.66666667
7,25,30,10.0,0.05,66.66666667
7,25,30,10.0,0.05,80.0
7,25,30,10.0,0.05,53.33333333
7,25,30,10.0,0.05,53.33333333
7,25,30,10.0,0.05,43.11111111
7,25,30,10.0,0.05,29.77777778
7,25,30,10.0,0.05,38.66666667
7,25,30,10.0,0.05,56.44444444
7,25,30,10.0,0.05,47.55555556
7,25,30,10.0,0.05,56.44444444
7,25,30,10.0,0.05,43.11111111
7,25,30,10.0,0.05,29.77777778
7,25,30,10.0,0.05,38.66666667
7,25,30,10.0,0.05,56.44444444
7,25,30,10.0,0.05,47.55555556
7,25,30,10.0,0.05,56.44444444
7,25,30,10.0,0.05,43.11111111
7,25,30,10.0,0.05,29.77777778
7,25,30,10.0,0.05,38.66666667
7,25,30,10.0,0.05,56.44444444
7,25,30,10.0,0.05,47.55555556
7,25,30,10.0,0.05,56.44444444
7,25,30,10.0,0.05,102.1825397
