pH,Temperature,Contact time,Initial concentration,Adsorbent dosage,Adsorption capacity
7,25,1440,1.0,0.02,-4.460093897
7,25,1440,1.0,0.04,10.68075117
7,25,1440,1.0,0.08,7.981220657
7,25,1440,1.0,0.12,5.907668232
7,25,1440,1.0,0.16,5.017605634
7,25,1440,1.0,0.02,6.103286385
7,25,1440,1.0,0.04,9.507042254
7,25,1440,1.0,0.08,8.568075117
7,25,1440,1.0,0.12,2.777777778
7,25,1440,1.0,0.16,4.137323944
7,25,1440,1.0,0.02,8.450704225
7,25,1440,1.0,0.04,7.746478873
7,25,1440,1.0,0.08,7.687793427
7,25,1440,1.0,0.12,5.125195618
7,25,1440,1.0,0.16,4.430751174
7,25,1440,1.0,0.02,7.692307692
7,25,1440,1.0,0.04,8.14479638
7,25,1440,1.0,0.08,6.561085973
7,25,1440,1.0,0.12,5.354449472
7,25,1440,1.0,0.16,4.524886878
7,25,1440,1.0,0.02,7.239819005
7,25,1440,1.0,0.04,7.918552036
7,25,1440,1.0,0.08,7.239819005
7,25,1440,1.0,0.12,5.957767722
7,25,1440,1.0,0.16,4.751131222
7,25,1440,1.0,0.02,5.429864253
7,25,1440,1.0,0.04,6.787330317
7,25,1440,1.0,0.08,6.900452489
7,25,1440,1.0,0.12,5.80693816
7,25,1440,1.0,0.16,4.807692308
7,25,30,1.0,0.12,1.578047264
7,25,60,1.0,0.12,2.277674129
7,25,120,1.0,0.12,1.966728856
7,25,180,1.0,0.12,0.80068408
7,25,360,1.0,0.12,3.443718905
7,25,540,1.0,0.12,2.899564677
7,25,720,1.0,0.12,-0.987251244
7,25,1440,1.0,0.12,4.065609453
7,25,30,1.0,0.12,2.277674129
7,25,60,1.0,0.12,2.355410448
7,25,120,1.0,0.12,2.277674129
7,25,180,1.0,0.12,2.899564677
7,25,360,1.0,0.12,2.977300995
7,25,540,1.0,0.12,3.521455224
7,25,720,1.0,0.12,3.910136816
7,25,1440,1.0,0.12,4.143345771
7,25,30,1.0,0.12,2.044465174
7,25,60,1.0,0.12,2.199937811
7,25,120,1.0,0.12,2.433146766
7,25,180,1.0,0.12,2.821828358
7,25,360,1.0,0.12,1.811256219
7,25,540,1.0,0.12,3.832400498
7,25,720,1.0,0.12,4.065609453
7,25,1440,1.0,0.12,3.987873134
7,25,30,1.0,0.12,3.46907994
7,25,60,1.0,0.12,3.242835596
7,25,120,1.0,0.12,3.921568627
7,25,180,1.0,0.12,4.751131222
7,25,360,1.0,0.12,4.67571644
7,25,540,1.0,0.12,4.751131222
7,25,720,1.0,0.12,3.092006033
7,25,1440,1.0,0.12,4.826546003
7,25,30,1.0,0.12,3.318250377
7,25,60,1.0,0.12,3.619909502
7,25,120,1.0,0.12,3.996983409
7,25,180,1.0,0.12,4.600301659
7,25,360,1.0,0.12,4.600301659
7,25,540,1.0,0.12,4.67571644
7,25,720,1.0,0.12,4.826546003
7,25,1440,1.0,0.12,4.826546003
7,25,30,1.0,0.12,3.770739065
7,25,60,1.0,0.12,3.996983409
7,25,120,1.0,0.12,3.393665158
7,25,180,1.0,0.12,4.449472097
7,25,360,1.0,0.12,4.449472097
7,25,540,1.0,0.12,4.901960784
7,25,720,1.0,0.12,4.826546003
7,25,1440,1.0,0.12,4.901960784
7,25,720,0.5,0.12,3.513999243
7,25,720,1.0,0.12,4.653802497
7,25,720,2.0,0.12,4.568671964
7,25,720,3.0,0.12,5.807794173
7,25,720,5.0,0.12,6.772606886
7,25,720,7.0,0.12,8.39954597
7,25,720,0.5,0.12,3.419409762
7,25,720,1.0,0.12,4.370034052
7,25,720,2.0,0.12,4.095724555
7,25,720,3.0,0.12,5.996973137
7,25,720,5.0,0.12,8.569807037
7,25,720,7.0,0.12,8.872493379
7,25,720,0.5,0.12,2.946462353
7,25,720,1.0,0.12,4.275444571
7,25,720,2.0,0.12,5.041619372
7,25,720,3.0,0.12,5.713204692
7,25,720,5.0,0.12,7.623912221
7,25,720,7.0,0.12,8.39954597
7,25,720,0.5,0.12,2.887395201
7,25,720,1.0,0.12,5.030355594
7,25,720,2.0,0.12,7.364845331
7,25,720,3.0,0.12,9.482509396
7,25,720,5.0,0.12,12.70598439
7,25,720,7.0,0.12,15.85718416
7,25,720,0.5,0.12,2.959670425
7,25,720,1.0,0.12,5.030355594
7,25,720,2.0,0.12,7.075744435
7,25,720,3.0,0.12,9.265683724
7,25,720,5.0,0.12,12.48915872
7,25,720,7.0,0.12,14.4839549
7,25,720,0.5,0.12,2.598294305
7,25,720,1.0,0.12,5.030355594
7,25,720,2.0,0.12,7.292570107
7,25,720,3.0,0.12,9.482509396
7,25,720,5.0,0.12,12.41688349
7,25,720,7.0,0.12,15.13443192
7,15,720,1.0,0.12,-0.987251244
7,25,720,1.0,0.12,4.065976218
7,35,720,1.0,0.12,3.394706559
7,45,720,1.0,0.12,3.394706559
7,15,720,1.0,0.12,3.910136816
7,25,720,1.0,0.12,4.353663214
7,35,720,1.0,0.12,3.58649789
7,45,720,1.0,0.12,3.394706559
7,15,720,1.0,0.12,3.754664179
7,25,720,1.0,0.12,3.394706559
7,35,720,1.0,0.12,3.58649789
7,45,720,1.0,0.12,3.490602225
7,15,720,1.0,0.12,4.355425056
7,25,720,1.0,0.12,4.215604027
7,35,720,1.0,0.12,4.452153802
7,45,720,1.0,0.12,3.097035794
7,15,720,1.0,0.12,4.145693512
7,25,720,1.0,0.12,4.215604027
7,35,720,1.0,0.12,4.307603354
7,45,720,1.0,0.12,4.005872483
7,15,720,1.0,0.12,4.5651566
7,25,720,1.0,0.12,4.42533557
7,35,720,1.0,0.12,5.030355594
7,45,720,1.0,0.12,4.075782998
7,25,720,1.0,0.12,2.345474614
7,25,720,1.0,0.12,1.56581741
7,25,720,1.0,0.12,4.516129032
7,25,720,1.0,0.12,5.887681159
7,25,720,1.0,0.12,1.793598234
7,25,720,1.0,0.12,3.158174098
7,25,720,1.0,0.12,4.784946237
7,25,720,1.0,0.12,5.887681159
7,25,720,1.0,0.12,2.621412804
7,25,720,1.0,0.12,3.158174098
7,25,720,1.0,0.12,4.247311828
7,25,720,1.0,0.12,5.887681159
7,25,720,1.0,0.12,5.170421722
7,25,720,1.0,0.12,5.588907947
7,25,720,1.0,0.12,5.530371714
7,25,720,1.0,0.12,6.362889984
7,25,720,1.0,0.12,4.881571346
7,25,720,1.0,0.12,5.231560892
7,25,720,1.0,0.12,5.681474766
7,25,720,1.0,0.12,6.294471812
7,25,720,1.0,0.12,4.881571346
7,25,720,1.0,0.12,5.231560892
7,25,720,1.0,0.12,5.681474766
7,25,720,1.0,0.12,6.294471812
