pH,Temperature,Contact time,Initial concentration,Adsorbent dosage,Adsorption capacity,Adsorbent
7,25,1440,1.0,0.02,-4.460093897,PB600
7,25,1440,1.0,0.04,10.68075117,PB600
7,25,1440,1.0,0.08,7.981220657,PB600
7,25,1440,1.0,0.12,5.907668232,PB600
7,25,1440,1.0,0.16,5.017605634,PB600
7,25,1440,1.0,0.02,6.103286385,PB600
7,25,1440,1.0,0.04,9.507042254,PB600
7,25,1440,1.0,0.08,8.568075117,PB600
7,25,1440,1.0,0.12,2.777777778,PB600
7,25,1440,1.0,0.16,4.137323944,PB600
7,25,1440,1.0,0.02,8.450704225,PB600
7,25,1440,1.0,0.04,7.746478873,PB600
7,25,1440,1.0,0.08,7.687793427,PB600
7,25,1440,1.0,0.12,5.125195618,PB600
7,25,1440,1.0,0.16,4.430751174,PB600
7,25,1440,1.0,0.02,7.692307692,PB600
7,25,1440,1.0,0.04,8.14479638,PB600
7,25,1440,1.0,0.08,6.561085973,PB600
7,25,1440,1.0,0.12,5.354449472,PB600
7,25,1440,1.0,0.16,4.524886878,PB600
7,25,1440,1.0,0.02,7.239819005,PB600
7,25,1440,1.0,0.04,7.918552036,PB600
7,25,1440,1.0,0.08,7.239819005,PB600
7,25,1440,1.0,0.12,5.957767722,PB600
7,25,1440,1.0,0.16,4.751131222,PB600
7,25,1440,1.0,0.02,5.429864253,PB600
7,25,1440,1.0,0.04,6.787330317,PB600
7,25,1440,1.0,0.08,6.900452489,PB600
7,25,1440,1.0,0.12,5.80693816,PB600
7,25,1440,1.0,0.16,4.807692308,PB600
7,25,30,1.0,0.12,1.578047264,PB600
7,25,60,1.0,0.12,2.277674129,PB600
7,25,120,1.0,0.12,1.966728856,PB600
7,25,180,1.0,0.12,0.80068408,PB600
7,25,360,1.0,0.12,3.443718905,PB600
7,25,540,1.0,0.12,2.899564677,PB600
7,25,720,1.0,0.12,-0.987251244,PB600
7,25,1440,1.0,0.12,4.065609453,PB600
7,25,30,1.0,0.12,2.277674129,PB600
7,25,60,1.0,0.12,2.355410448,PB600
7,25,120,1.0,0.12,2.277674129,PB600
7,25,180,1.0,0.12,2.899564677,PB600
7,25,360,1.0,0.12,2.977300995,PB600
7,25,540,1.0,0.12,3.521455224,PB600
7,25,720,1.0,0.12,3.910136816,PB600
7,25,1440,1.0,0.12,4.143345771,PB600
7,25,30,1.0,0.12,2.044465174,PB600
7,25,60,1.0,0.12,2.199937811,PB600
7,25,120,1.0,0.12,2.433146766,PB600
7,25,180,1.0,0.12,2.821828358,PB600
7,25,360,1.0,0.12,1.811256219,PB600
7,25,540,1.0,0.12,3.832400498,PB600
7,25,720,1.0,0.12,4.065609453,PB600
7,25,1440,1.0,0.12,3.987873134,PB600
7,25,30,1.0,0.12,3.46907994,PB600
7,25,60,1.0,0.12,3.242835596,PB600
7,25,120,1.0,0.12,3.921568627,PB600
7,25,180,1.0,0.12,4.751131222,PB600
7,25,360,1.0,0.12,4.67571644,PB600
7,25,540,1.0,0.12,4.751131222,PB600
7,25,720,1.0,0.12,3.092006033,PB600
7,25,1440,1.0,0.12,4.826546003,PB600
7,25,30,1.0,0.12,3.318250377,PB600
7,25,60,1.0,0.12,3.619909502,PB600
7,25,120,1.0,0.12,3.996983409,PB600
7,25,180,1.0,0.12,4.600301659,PB600
7,25,360,1.0,0.12,4.600301659,PB600
7,25,540,1.0,0.12,4.67571644,PB600
7,25,720,1.0,0.12,4.826546003,PB600
7,25,1440,1.0,0.12,4.826546003,PB600
7,25,30,1.0,0.12,3.770739065,PB600
7,25,60,1.0,0.12,3.996983409,PB600
7,25,120,1.0,0.12,3.393665158,PB600
7,25,180,1.0,0.12,4.449472097,PB600
7,25,360,1.0,0.12,4.449472097,PB600
7,25,540,1.0,0.12,4.901960784,PB600
7,25,720,1.0,0.12,4.826546003,PB600
7,25,1440,1.0,0.12,4.901960784,PB600
7,25,720,0.5,0.12,3.513999243,PB600
7,25,720,1.0,0.12,4.653802497,PB600
7,25,720,2.0,0.12,4.568671964,PB600
7,25,720,3.0,0.12,5.807794173,PB600
7,25,720,5.0,0.12,6.772606886,PB600
7,25,720,7.0,0.12,8.39954597,PB600
7,25,720,0.5,0.12,3.419409762,PB600
7,25,720,1.0,0.12,4.370034052,PB600
7,25,720,2.0,0.12,4.095724555,PB600
